iter	Logloss
0	0.6813792167
1	0.6775343195
2	0.6740314195
3	0.6697507859
4	0.6663650928
5	0.6555386791
6	0.6514822374
7	0.6487121907
8	0.6451908444
9	0.6419828459
10	0.6324503379
11	0.6300589907
12	0.627314925
13	0.6251229028
14	0.62337955
15	0.621725885
16	0.6131413923
17	0.6052565804
18	0.6028054856
19	0.5952852065
20	0.5936488486
21	0.5919586284
22	0.5903200794
23	0.5882260864
24	0.5868325509
25	0.5849880092
26	0.5839269003
27	0.5765524337
28	0.5750979213
29	0.5738015702
30	0.5723450309
31	0.5709515054
32	0.5700961599
33	0.5639466942
34	0.5580738264
35	0.5518693065
36	0.5464873388
37	0.5451312927
38	0.5444876922
39	0.5434086624
40	0.5387012477
41	0.5339052132
42	0.5325906134
43	0.5317073279
44	0.5272478826
45	0.5268643317
46	0.5258120989
47	0.524759629
48	0.5238390278
49	0.5235286733
50	0.5194302751
51	0.5153785958
52	0.5110773772
53	0.5102983072
54	0.5071723401
55	0.5066417358
56	0.5035627452
57	0.502751658
58	0.5019044994
59	0.4989958223
60	0.4982500467
61	0.4950735843
62	0.4918120626
63	0.4914293631
64	0.4901663025
65	0.4872138603
66	0.4849216686
67	0.4825662619
68	0.4817342974
69	0.4811967993
70	0.4809177657
71	0.4787586983
72	0.4782812733
73	0.4763891745
74	0.4757779253
75	0.4755236912
76	0.47472585
77	0.472947642
78	0.4726013406
79	0.4709246225
80	0.4707086076
81	0.4687121497
82	0.4682247686
83	0.4679339182
84	0.4674256477
85	0.4671107387
86	0.466168369
87	0.4656989387
88	0.4652893155
89	0.4650484299
90	0.464400012
91	0.4640529309
92	0.4633579936
93	0.4629774873
94	0.4627124707
95	0.4611817857
96	0.4597012117
97	0.4591853893
98	0.4578857314
99	0.4567236143
100	0.4560920666
101	0.4549035808
102	0.4542819151
103	0.4542387842
104	0.4538809042
105	0.4535732646
106	0.4519254006
107	0.4503486101
108	0.4503254058
109	0.4503036723
110	0.4498825761
111	0.449002443
112	0.4480838993
113	0.4477359932
114	0.4474417276
115	0.4469137919
116	0.4464057028
117	0.4452020229
118	0.4442679778
119	0.4436070126
120	0.4434020464
121	0.4433778764
122	0.4427929922
123	0.4424751141
124	0.4412446827
125	0.4411111649
126	0.4404567973
127	0.4397277334
128	0.4395495587
129	0.4392713442
130	0.4388722743
131	0.4384237428
132	0.4373727157
133	0.4369950097
134	0.435984665
135	0.435165673
136	0.4342406153
137	0.433623204
138	0.4326969532
139	0.4320574179
140	0.4316090181
141	0.4314197726
142	0.4311806698
143	0.4303717116
144	0.4302868933
145	0.4298056191
146	0.4291716716
147	0.4288974976
148	0.4284889994
149	0.4283731473
150	0.4280237824
151	0.427852455
152	0.4272160762
153	0.4266202686
154	0.4263499816
155	0.4260152549
156	0.4255007986
157	0.4245475514
158	0.4243708038
159	0.4239878073
160	0.4237488063
161	0.4233397995
162	0.4230638472
163	0.4221944179
164	0.42197833
165	0.4212472745
166	0.4209324563
167	0.4199384122
168	0.41941457
169	0.4190854581
170	0.4189063245
171	0.4186110341
172	0.418399018
173	0.4180745447
174	0.4176143402
175	0.4171156826
176	0.4165064699
177	0.4162390788
178	0.4160189168
179	0.4160180543
180	0.415924341
181	0.4155217232
182	0.4149071322
183	0.41414504
184	0.4136228311
185	0.4134297721
186	0.4131255324
187	0.4126101346
188	0.4120507848
189	0.4117167061
190	0.411284605
191	0.4110736707
192	0.41092234
193	0.4101713146
194	0.4095843127
195	0.4087514353
196	0.4081188804
197	0.4077805783
198	0.4074390043
199	0.4073014485
200	0.4067894729
201	0.4064681176
202	0.406156044
203	0.4059753945
204	0.4058489794
205	0.4056378627
206	0.4051746227
207	0.4044257722
208	0.4043025449
209	0.4043023969
210	0.403644341
211	0.4033178124
212	0.4030055208
213	0.4027323093
214	0.4014495201
215	0.4009680185
216	0.4007428387
217	0.400504199
218	0.400047706
219	0.39976438
220	0.3994956853
221	0.3989191271
222	0.3984831604
223	0.3981776709
224	0.3979825605
225	0.397554271
226	0.3972297828
227	0.3968480963
228	0.3962807007
229	0.3960849907
230	0.3956112077
231	0.395055992
232	0.3947334293
233	0.394134281
234	0.3938880934
235	0.3936064108
236	0.3934005619
